TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_KEY,IS_NULLABLE
tbl_orcamento,id,int,PRI,NO
tbl_orcamento,valor_total,double,,NO
tbl_orcamento,id_utilizadores,varchar,MUL,NO
tbl_orcamento,enabled,tinyint,,NO
tbl_orcamento,created_at,datetime,,NO
tbl_orcamento,update_at,datetime,,NO
tbl_prestacao_servico,id,int,PRI,NO
tbl_prestacao_servico,id_prestadores,varchar,MUL,NO
tbl_prestacao_servico,id_servicos,int,MUL,NO
tbl_prestacao_servico,id_orcamento,int,MUL,YES
tbl_prestacao_servico,designacao,varchar,,NO
tbl_prestacao_servico,sub_total,double,,NO
tbl_prestacao_servico,horas_estimadas,int,,YES
tbl_prestacao_servico,preco_hora,double,,YES
tbl_prestacao_servico,estado,enum,,NO
tbl_prestacao_servico,created_at,datetime,,NO
tbl_prestacao_servico,update_at,datetime,,NO
tbl_prestadores,id,varchar,PRI,NO
tbl_prestadores,id_utilizadores,varchar,MUL,NO
tbl_prestadores,nif,decimal,,NO
tbl_prestadores,profisaao,varchar,,NO
tbl_prestadores,taxa_urgencia,decimal,,YES
tbl_prestadores,minimo_desconto,decimal,,YES
tbl_prestadores,percentagem_desconto,decimal,,YES
tbl_prestadores,disponivel,tinyint,,NO
tbl_prestadores,enabled,tinyint,,NO
tbl_prestadores,created_at,datetime,,NO
tbl_prestadores,updated_at,datetime,,NO
tbl_proposta,id,int,PRI,NO
tbl_proposta,id_prestacao_servico,int,MUL,NO
tbl_proposta,preco_hora,double,,NO
tbl_proposta,horas_estimadas,int,,NO
tbl_proposta,estados,enum,,NO
tbl_proposta,created_at,datetime,,NO
tbl_proposta,update_at,datetime,,NO
tbl_servicos,id,int,PRI,NO
tbl_servicos,nome,varchar,,NO
tbl_servicos,descricao,varchar,,YES
tbl_servicos,categoria,varchar,,NO
tbl_servicos,enabled,tinyint,,NO
tbl_servicos,created_at,datetime,,NO
tbl_servicos,updated_at,datetime,,NO
tbl_utilizadores,id,varchar,PRI,NO
tbl_utilizadores,nome,varchar,,NO
tbl_utilizadores,numero_identificacao,varchar,,NO
tbl_utilizadores,data_nascimento,date,,NO
tbl_utilizadores,email,varchar,,NO
tbl_utilizadores,password,varchar,,NO
tbl_utilizadores,telefone,varchar,,YES
tbl_utilizadores,pais,varchar,,NO
tbl_utilizadores,localidade,varchar,,NO
tbl_utilizadores,enabled,tinyint,,NO
tbl_utilizadores,created_at,datetime,,NO
tbl_utilizadores,updated_at,datetime,,NO
